accession	uniprot_accession	source_database	source_release	organism	lifestyle	length	cysteine_count	cysteine_fraction	publication_year	functional_evidence	experiment	q4_tool_independent	sequence_sha256
C1KJG7		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Magnaporthe oryzae	hemibiotroph	224	9	0.040179	2010	hypersensitive response assay	Gene deletion; PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	fb8a910f2f4b2aecc58b2dffbf98f328b91bd16d4f9fcb0bec63dcd1ad7273c1
C1KJH7		PHI-base	v4.19	Magnaporthe oryzae	hemibiotroph	224	8	0.035714	2010	hypersensitive response assay	Gene deletion	yes	72299485baf5fc7bad55dda1b3d56e4413c56aed7a7a2d53053c6c2ac0a9d224
C1KJH9		PHI-base	v4.19	Magnaporthe oryzae	hemibiotroph	224	8	0.035714	2010	hypersensitive response assay	Gene deletion	yes	149745237dd094308889ba245936a60ff49b48f73d67a83751ff9c32965c3b92
C1KJI7		PHI-base	v4.19	Magnaporthe oryzae	hemibiotroph	224	9	0.040179	2010	hypersensitive response assay	Functional test in host	yes	e95a5b3b1ebf083dc0c6f9d8f077d9bcf712707041aa0ed6067739057d351f36
C4B8B7		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Magnaporthe oryzae	hemibiotroph	70	3	0.042857	2009	hypersensitive response assay	Functional test in host; PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	1cff161ee120ac3970633bd6370a7916556a5d70ae22d551879fb4328c576a2e
C4B8B8		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Magnaporthe oryzae	hemibiotroph	113	3	0.026549	2009	hypersensitive response assay	Gene mutation; PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	c7574dc4d420cb28a77dbbe4c3faec7c3026a8174f2137dc399c3423ac5dfde9
C4B8B9		PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; v4.19	Magnaporthe oryzae	hemibiotroph	113	3	0.026549	2009	hypersensitive response assay	Functional test in host; Predector literature record	yes	7bad71a3f360acbebf14fc8dd390f1c395c066978304a700ecf8200f7ddcc09a
C4B8C2		Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46	Magnaporthe oryzae	hemibiotroph	113	3	0.026549	2018	hypersensitive response assay	Predector literature record	yes	7c1f28ed3445bb9bf26f97048a4979a65b2b118b1fd578a9c5281cb0b094787b
C6ZEZ6		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Magnaporthe oryzae	hemibiotroph	108	5	0.046296	2009	hypersensitive response assay	Functional test in host; PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	4d1c8f7ea9a6013636445b6a0475f3dae569574b332ffc44fee91d4100f7933d
C9WMG8		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Fusarium oxysporum	hemibiotroph	225	9	0.040000	2013	hypersensitive response assay	Gene deletion; gene complementation; PEACE source memberships: FunEffector-Pred;fungtion_positive_sequences	yes	bb015aa9b6749062bfbf0f0971483d90363f85869808bf21e8418c0c051b750d
D0MZL5	D0MZL5	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora infestans; Phytophthora infestans (strain T30-4) (Potato late blight agent)	hemibiotroph	144	1	0.006944	2013	hypersensitive response assay	Altered gene expression / gene regulation: silencing; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter	yes	c938e9b246ed254c5b1ecb29a0924686c454648e644e10b35db44e05788fe9d4
D0N0I4		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora infestans	hemibiotroph	100	0	0.000000	2015	hypersensitive response assay	Gene mutation; PEACE source memberships: WideEffHunter	yes	69517e4a6d03a4d58bdf5d3c4b7933e518a62cf4822aad11532799682361bf94
D0N607	D0N607	PHI-base	v4.19	Phytophthora infestans; Phytophthora infestans (strain T30-4) (Potato late blight agent)	hemibiotroph	198	1	0.005051	2024	hypersensitive response assay	Functional test in host: transient expression	yes	036f50479d14c74493a2360e0a273d642bd080317bd813d8f16f3dd96c97d1c3
D0N8M0		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora infestans	hemibiotroph	238	0	0.000000	2020	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: pooe_positive_sequences	yes	74a33770a35d21f4186823fab5a10f2c0678fb71cf10a99879ca78c4862f99e6
D0N8M8		PHI-base	v4.19	Phytophthora infestans	hemibiotroph	244	2	0.008197	2020	hypersensitive response assay	Functional test in host: transient expression	yes	88566f080a84af71a72f0e07a8394203e2aec80a19d6ee513527b23f8373d5df
D0NBV1	D0NBV1	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora infestans; Phytophthora infestans (strain T30-4) (Potato late blight agent)	hemibiotroph	126	4	0.031746	2009	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter	yes	0d6d37f999ae08c5af14b5b86160be79cd29c00d22730497c828516ac38e96ed
D0NBV3	D0NBV3	PHI-base	v4.19	Phytophthora infestans; Phytophthora infestans (strain T30-4) (Potato late blight agent)	hemibiotroph	125	4	0.032000	2009	hypersensitive response assay	Functional test in host: transient expression	yes	586c245be3d2a5d74c2507c555f876c9c86ff724a8a7f56b76d45f420d3dbaab
D0NDJ8		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora infestans	hemibiotroph	116	1	0.008621	2012	hypersensitive response assay	Other evidence; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter; Predector literature record	yes	b12a615a83783f21ac23e05aae4005378a4a12b25e257c5068d854b258d8e2a2
D0NIL2		Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46	Phytophthora infestans	hemibiotroph	121	0	0.000000	2005	validated host-target interaction	Predector literature record	unknown	b244dc5b4fa26dda247b42b79897fba0bf8bbb4c7f40642e30fdcdf1d3e0f0b4
D0NN59		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Phytophthora infestans	hemibiotroph	114	1	0.008772	2012	hypersensitive response assay	PEACE source memberships: EffectorP_3.0_positives; Predector literature record	yes	20fbcbce32e4ffa061fe6de41bdd95e5d29b341f7ee117847663473f3caee7b6
D0NPN8	D0NPN8	PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora infestans; Phytophthora infestans (strain T30-4) (Potato late blight agent)	hemibiotroph	147	0	0.000000	2010	hypersensitive response assay	Functional test in host: transient expression; Other evidence; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter; Predector literature record	yes	4cde68aecc46bddb2265ac5311d832df4e134c4b6f38188d330255507761de0b
D0NRS4	D0NRS4	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora infestans; Phytophthora infestans (strain T30-4) (Potato late blight agent)	hemibiotroph	760	1	0.001316	2017	hypersensitive response assay	Gene mutation; PEACE source memberships: pooe_positive_sequences	yes	5ea6b29dd4f400ca460dbd926ecc0c15106db27844ae6d3e343f29d30b725a22
D0NTY1	D0NTY1	PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora infestans; Phytophthora infestans (strain T30-4) (Potato late blight agent)	hemibiotroph	153	0	0.000000	2012	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffectorP_3.0_positives;pooe_positive_sequences; Predector literature record	yes	608a899ca683b13064db0bb760c251f2080466c0a45b9cfe54306aedc1418a1d
D0NVB5	D0NVB5	PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora infestans; Phytophthora infestans (strain T30-4) (Potato late blight agent)	hemibiotroph	208	1	0.004808	2015	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter;pooe_positive_sequences; Predector literature record	yes	f0d7bdf1552a793551c1fffab580d7c35eedb9e2783dc7d944a3c4e21fc1815e
D0NXM3	D0NXM3	PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora infestans; Phytophthora infestans (strain T30-4) (Potato late blight agent)	hemibiotroph	148	0	0.000000	2011	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffectorP_3.0_positives;pooe_positive_sequences; Predector literature record	yes	55c9f26b463e0c52ed60530f72b6c19df3d586b65dd6c9dff69347e894a5e3a8
D0P1A8	D0P1A8	PHI-base	v4.19	Phytophthora infestans; Phytophthora infestans (strain T30-4) (Potato late blight agent)	hemibiotroph	100	0	0.000000	2020	hypersensitive response assay	Gene deletion: full	yes	9d25d4b6bae046948acc9e63ba4cc98414803848532c238b5f9ed4bdcb09e08a
D0P1B2	D0P1B2	PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora infestans; Phytophthora infestans (strain T30-4) (Potato late blight agent)	hemibiotroph	100	0	0.000000	2011	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffectorP_3.0_positives; Predector literature record	yes	79aeaeefd9ef30044475c3e478f0547c6c1fd58e289418c758fd12ff3125e337
D0P3S7	D0P3S7	PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora infestans; Phytophthora infestans (strain T30-4) (Potato late blight agent)	hemibiotroph	152	0	0.000000	2012	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffectorP_3.0_positives;pooe_positive_sequences; Predector literature record	yes	0af627839c2a43b24b6a5f1b959c4cefd8ecd24ce0348cd2d73a0d312c81e73f
D0U2D1		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Fusarium oxysporum	hemibiotroph	163	3	0.018405	2009	hypersensitive response assay	Gene deletion: full; gene complementation; PEACE source memberships: FunEffector-Pred	yes	478783f83c563248f2273d5b338a24683b700534e6262559d160c317a5c10c5b
D5KLB3		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Cercospora beticola	unknown	135	9	0.066667	2014	hypersensitive response assay	Gene mutation; PEACE source memberships: FunEffector-Pred;WideEffHunter;fungtion_positive_sequences	yes	b5743745b541c7f23bef9346ffd7f08398cd75cef1336f501e83cc828fa81b50
D5KLB5		PHI-base	v4.19	Cercospora apii	unknown	135	9	0.066667	2014	hypersensitive response assay	Gene mutation	yes	eae25dffe97332a0de004b5c098616cb11e7392d20a3330a7afc8b5bd560dd14
E0W4Q8		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae	hemibiotroph	274	1	0.003650	2021	hypersensitive response assay	Gene deletion: full; PEACE source memberships: pooe_positive_sequences	yes	36752c7d52128f8c0b8b2baebda556b2326cd39eae8fdaefe7896701c5ba871a
E0W4U2		PHI-base	v4.19	Phytophthora sojae	hemibiotroph	136	1	0.007353	2023	hypersensitive response assay	Gene deletion: full	yes	109db63df57acd090c03df9b2d41added89c1592e0f1431b4de2509eba6b9202
E0W4V8_PHYSO		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Phytophthora sojae	hemibiotroph	314	2	0.006369	2011	hypersensitive response assay	PEACE source memberships: EffectorP_3.0_positives;pooe_positive_sequences; Predector literature record	yes	7e1c93d066f98ffba26e0400537acbb99026180f83412176e26a71924ec64e8d
E0W4Y2	E0W4Y2	PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae; Phytophthora sojae (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	hemibiotroph	188	1	0.005319	2012	hypersensitive response assay	Altered gene expression / gene regulation: overexpression; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter;pooe_positive_sequences; Predector literature record	yes	468835441154c2303be301ce31e6b5725ce9a82cf2d2109f571014c099c0ca7a
E0W544	E0W544	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae; Phytophthora sojae (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	hemibiotroph	140	0	0.000000	2017	hypersensitive response assay	Gene deletion: full; PEACE source memberships: WideEffHunter;pooe_positive_sequences	yes	567864a788e804c5e8a6b062f62d76418c2c6a5714bd6475f668840068b4cdfe
E0W547	E0W547	PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae; Phytophthora sojae (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	hemibiotroph	135	0	0.000000	2013	hypersensitive response assay	Gene mutation: characterised; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter; Predector literature record	yes	e6c01ff703d9b3e5766b51fd353e30b7b09cd653d96c56c5d76c9c45844f734f
E0W5A0		PHI-base	v4.19	Phytophthora sojae	hemibiotroph	130	0	0.000000	2017	hypersensitive response assay	Functional test in host: direct injection	yes	fb4724fa4949b7654a9c506660cc780cce16cf5cd8a1ac4fedd0a532b5c9220b
E0W5Q5_PHYSO	G4YRX5	PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Phytophthora sojae; Phytophthora sojae (strain P6497) (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	hemibiotroph	106	1	0.009434	2011	hypersensitive response assay	PEACE source memberships: EffectorP_3.0_positives;pooe_positive_sequences; Predector literature record	yes	5ef01d359e0ec07fb2cab52cdd5d37f7f9b8d7d15aaf9adc2e68f66c7da98d17
E3CTN3		PHI-base	v4.19	Ustilago maydis	biotroph	369	0	0.000000	2024	hypersensitive response assay	Gene deletion: full	yes	ccb8e7f83a8824bfbbd7c7beb97d98adf125eaf1e436a9fb1fa9cdda1a702088
E3KHU8		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Puccinia graminis	biotroph	145	2	0.013793	2019	hypersensitive response assay	Other evidence: transgenic plants; PEACE source memberships: FunEffector-Pred;WideEffHunter;fungtion_positive_sequences	yes	18c1ff408b60626baa11e32ea978f244393a2021b7942e67a8dcfe90d0efd659
E3KIN4		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Puccinia graminis f. sp. tritici	biotroph	820	7	0.008537	2011	validated host-target interaction	PEACE source memberships: Predector_positive_sequences;WideEffHunter; Predector literature record	no	1b77b330eb67d26531e164013b80e88f62d4ecf8cd376fc0dba0c4571141059e
E3L2L4		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Puccinia graminis f. sp. tritici	biotroph	744	4	0.005376	2011	validated host-target interaction	PEACE source memberships: Predector_positive_sequences;WideEffHunter; Predector literature record	no	ccb6339e41d555e1755d4feda0018c607ff382186880ef25fee82b4d6bb75a23
E3Q704		PHI-base	v4.19	Fusarium sacchari	hemibiotroph	214	8	0.037383	2023	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	32e63169c97b78c5e6f3488fa23c0e3b286111d6c057a8d482f2e57907765acf
E3QD10		PHI-base	v4.19	Fusarium sacchari	hemibiotroph	156	10	0.064103	2023	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	cdeba48aa02204b286d97c96b89acc90770ca4527c83ec0efa7120ff3a9f0057
E3QKL1	E3QKL1	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Colletotrichum graminicola; Colletotrichum graminicola (strain M1.001 / M2 / FGSC 10212) (Maize anthracnose fungus) (Glomerella graminicola)	hemibiotroph	639	5	0.007825	2016	hypersensitive response assay	Gene deletion: full; gene complementation; PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	616d6bf4a5004b0582ae5cfaae7020941c8466646835b7c5fa757c71cb4e261c
E3QRC0		PHI-base	v4.19	Fusarium sacchari	hemibiotroph	284	8	0.028169	2023	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	59bcf15fdcccf8e4f02dac8bb6d183ab5f301b239226272c6b4921b11cf3b8ae
E4ZT77		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Leptosphaeria maculans	hemibiotroph	95	8	0.084211	2011	hypersensitive response assay	PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	aed4fe325a34ae9dc63c213f5a0b5dd770bfc01b41d09293694f2d7f1d6b8566
E4ZT84		PHI-base	v4.19	Leptosphaeria maculans	hemibiotroph	106	4	0.037736	2013	hypersensitive response assay	Functional test in host	yes	e5ef1e4ec57eb5edfc6227de47191df68b9360fca9e85cd7977bc407d1d5351d
E4ZUN5		PHI-base	v4.19	Leptosphaeria maculans	hemibiotroph	658	15	0.022796	2024	hypersensitive response assay	Gene deletion: full	yes	cacefbd08e9d5df4e06577f0e8044491351335241c01fcec319d2a740c92ccc7
E6YE64	M4C699	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis; Hyaloperonospora arabidopsidis (strain Emoy2) (Downy mildew agent) (Peronospora arabidopsidis)	unknown	367	1	0.002725	2011	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter	yes	5bbd6685e7fcfb5147ce74ba8ee84ac2d1d9ba8ab3436745f0a225f3f538d779
E6ZKQ0		PHI-base	v4.19	Sporisorium reilianum	unknown	492	2	0.004065	2018	hypersensitive response assay	Gene deletion: full	yes	d726d9c1d78de1585bf30a651c4e96d0ceb1851aa79781836f95e725a9d8626e
E6ZKU6		PHI-base	v4.19	Sporisorium reilianum	unknown	436	9	0.020642	2019	hypersensitive response assay	Gene deletion: full	yes	eb5161b965ad5acf64a2eb7ceb712533130bd782b635a6b70fa89b28dfa63a18
E6ZLL5		PHI-base	v4.19	Sporisorium reilianum	unknown	185	8	0.043243	2018	hypersensitive response assay	Gene deletion: full	yes	fd6b55d64765d6f0a13e2371beea910d41ae19e82a692b6a85d6797c900ecbaf
E6ZMP5		PHI-base	v4.19	Sporisorium reilianum	unknown	129	0	0.000000	2019	hypersensitive response assay	Gene deletion: full	yes	4657b2dc32e4a3a3c361c1cbffc3a520512a0db90e3b8bf408f64261e360298c
E6ZMP6		PHI-base	v4.19	Sporisorium reilianum	unknown	523	6	0.011472	2019	hypersensitive response assay	Gene deletion: full	yes	649884147b1ace62af10e375c00596d9869a9eed523b6d7d6ad82e122cc51733
E6ZMP7		PHI-base	v4.19	Sporisorium reilianum	unknown	533	15	0.028143	2019	hypersensitive response assay	Gene deletion: full	yes	4523796e5d32667505ed1d4226d49972310b778c754d9c8b581b522a29bbfa24
E6ZMQ1		PHI-base	v4.19	Sporisorium reilianum	unknown	108	0	0.000000	2019	hypersensitive response assay	Gene deletion: full	yes	c15da24770bb883015684baa4520035a0c367dd0850545beaace2b26a59b4f4e
E6ZN54		PHI-base	v4.19	Sporisorium reilianum	unknown	160	0	0.000000	2018	hypersensitive response assay	Gene deletion: full	yes	da19e72603141d7e9d2455a5b1f00713d6cc4213f213e2e29fe05818a373c2bc
E6ZPZ7		PHI-base	v4.19	Sporisorium reilianum	unknown	612	16	0.026144	2019	hypersensitive response assay	Gene deletion: full	yes	ad7298c5515ba75f336d9c69a91fec0865cd8b14601e0516bc9c15e8ccde3422
E6ZS63		PHI-base	v4.19	Sporisorium reilianum	unknown	205	1	0.004878	2019	hypersensitive response assay	Gene deletion: full	yes	97db99f06c8648bff57de5dfd23da54fbfb4c5472d497fbd5712425a1a442a05
E6ZS64		PHI-base	v4.19	Sporisorium reilianum	unknown	231	0	0.000000	2019	hypersensitive response assay	Gene deletion: full	yes	06f8cc66a2162e0d43b2734298b8ea4cf6447ccd52b87687d65f80f13bdb256a
E6ZS65		PHI-base	v4.19	Sporisorium reilianum	unknown	192	1	0.005208	2019	hypersensitive response assay	Gene deletion: full	yes	92286c7bc38a674eb400c15ec9a17678a59af28d4c368746a6b3f6933fb8d0fb
E6ZS66		PHI-base	v4.19	Sporisorium reilianum	unknown	239	2	0.008368	2019	hypersensitive response assay	Gene deletion: full	yes	c5de0e459b3aa8906e2f0d3e46a93afc23eb34e4c8f08d7f759ca32a312c0ac9
E6ZS67		PHI-base	v4.19	Sporisorium reilianum	unknown	216	0	0.000000	2019	hypersensitive response assay	Gene deletion: full	yes	fb16a4e5be49c9b0f9ab729f29b948f138326fccfb2bd538d4170aa5094f2cef
E6ZS68		PHI-base	v4.19	Sporisorium reilianum	unknown	256	1	0.003906	2019	hypersensitive response assay	Gene deletion: full	yes	39e9ce0c6d3eb121beab964a7f47cbf8e15591c1c92d39c35557ba7c6da99950
E6ZS69		PHI-base	v4.19	Sporisorium reilianum	unknown	153	0	0.000000	2019	hypersensitive response assay	Gene deletion: full	yes	a80f2eacf3a13427b3de947d56b9da80215c7d105cfacfbfac6d5f47ead79093
E6ZS70		PHI-base	v4.19	Sporisorium reilianum	unknown	339	4	0.011799	2019	hypersensitive response assay	Gene deletion: full	yes	2c153e1c29e3c49010539b42739234a73502c2eaedcdff2aceeb52c0791c95d5
E6ZS71		PHI-base	v4.19	Sporisorium reilianum	unknown	206	1	0.004854	2019	hypersensitive response assay	Gene deletion: full	yes	2bd82541d1cc655fb2b37abc3552facb9b2d8e5e69c7b4e38db1e4376a8d2c4e
E6ZS72		PHI-base	v4.19	Sporisorium reilianum	unknown	103	0	0.000000	2019	hypersensitive response assay	Gene deletion: full	yes	e05e024325a6dbb45af938f2cc9246b469cf3baebcc52f0c330305552bf659fe
E6ZS73		PHI-base	v4.19	Sporisorium reilianum	unknown	246	1	0.004065	2019	hypersensitive response assay	Gene deletion: full	yes	0f4ea51030ed0536cbb2d73407be0bc9ca0c56f942a0bf31e0ae247d72bab011
E6ZS74		PHI-base	v4.19	Sporisorium reilianum	unknown	279	0	0.000000	2019	hypersensitive response assay	Gene deletion: full	yes	31da0566da8bda293b794ce53dd9e91185f9fdbde13a1df4fb583a5e4908246b
E6ZS75		PHI-base	v4.19	Sporisorium reilianum	unknown	218	0	0.000000	2019	hypersensitive response assay	Gene deletion: full	yes	406cd18594ef04985e899da61f935405fd697dc7115d1b1ff7b4d7192f5bfae8
E6ZS76		PHI-base	v4.19	Sporisorium reilianum	unknown	571	11	0.019264	2019	hypersensitive response assay	Gene deletion: full	yes	021be365d901f96fba9feadcad300674ae24e4762138ae8011357bf6c343af93
E6ZS77		PHI-base	v4.19	Sporisorium reilianum	unknown	297	3	0.010101	2019	hypersensitive response assay	Gene deletion: full	yes	dbdf8f3e3ec9474e27c653639d250e8fcca56ebfd169e8165d2c9063fbae70ff
E6ZS78		PHI-base	v4.19	Sporisorium reilianum	unknown	580	10	0.017241	2019	hypersensitive response assay	Gene deletion: full	yes	a2139b6735bb1e6a9dea662a477a69f867a6bcac0161f1c9e9bd1763c9b86b38
E6ZS79		PHI-base	v4.19	Sporisorium reilianum	unknown	1464	20	0.013661	2019	hypersensitive response assay	Gene deletion: full	yes	79fe049fb8d856dc7072bd66796e0ffdd3a8ee59699168ee70118485a2fe383e
E6ZS80		PHI-base	v4.19	Sporisorium reilianum	unknown	292	0	0.000000	2019	hypersensitive response assay	Gene deletion: full	yes	449d09f1737e6eee8e0b05cc997be0c40e982e0086471cd852e1ef920288661c
E6ZS81		PHI-base	v4.19	Sporisorium reilianum	unknown	181	0	0.000000	2019	hypersensitive response assay	Gene deletion: full	yes	fca67712b7d7b93c84122daec3093fcd709bed5962c8f7343391c9a0cf27267c
E6ZS82		PHI-base	v4.19	Sporisorium reilianum	unknown	273	11	0.040293	2019	hypersensitive response assay	Gene deletion: full	yes	b1d8b45fa17df45b7601ed6f1e5e573a8cdf5df3c5f3d89328ff34c6290c0bb4
E6ZS83		PHI-base	v4.19	Sporisorium reilianum	unknown	119	1	0.008403	2019	hypersensitive response assay	Gene deletion: full	yes	d7c1724800f774898e1db6a8d6d8f6d169824cd53311106b178e3f9d09a7a3bc
E6ZS84		PHI-base	v4.19	Sporisorium reilianum	unknown	267	1	0.003745	2019	hypersensitive response assay	Gene deletion: full	yes	7c8cb79b801a95dc48d6a9dcf361f04bef39db5f151b06f782f8ccd63f4bae65
E6ZS85		PHI-base	v4.19	Sporisorium reilianum	unknown	178	1	0.005618	2019	hypersensitive response assay	Gene deletion: full	yes	c09daff1be0416e86769cc0641cca1a7716b6e0d5d4ff191c7468db61c27f50f
E6ZS86		PHI-base	v4.19	Sporisorium reilianum	unknown	178	0	0.000000	2019	hypersensitive response assay	Gene deletion: full	yes	63a3e1923243c6fa308d1bff6867b50573cb5b6b3d418a678ddd603ee97e17ba
E6ZS87		PHI-base	v4.19	Sporisorium reilianum	unknown	234	1	0.004274	2019	hypersensitive response assay	Gene deletion: full	yes	25b10ad8e966ef4fae443f07fca7ae993c6ea843b4d8ccf3dfc661e2d4324688
E6ZS88		PHI-base	v4.19	Sporisorium reilianum	unknown	154	4	0.025974	2019	hypersensitive response assay	Gene deletion: full	yes	7b36674ecf2977a98e5b8b2e94ab552cb4e9774a411d2067f7c3582ac014d530
E6ZS90		PHI-base	v4.19	Sporisorium reilianum	unknown	180	2	0.011111	2019	hypersensitive response assay	Gene deletion: full	yes	2e88879a0ec4d79c4d8ebf595c46d67527ae04919ac520954192cbb033a2f3a8
