accession	organism	length	status
P43102	Candida albicans (Yeast)	147	unlabelled_candidate_not_verified_negative
P43122	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	407	unlabelled_candidate_not_verified_negative
P43123	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	477	unlabelled_candidate_not_verified_negative
P43124	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	402	unlabelled_candidate_not_verified_negative
P43132	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	505	unlabelled_candidate_not_verified_negative
P43230	Rhizopus niveus	265	unlabelled_candidate_not_verified_negative
P43231	Rhizopus niveus	391	unlabelled_candidate_not_verified_negative
P43232	Rhizopus niveus	392	unlabelled_candidate_not_verified_negative
P43239	Pneumocystis carinii	375	unlabelled_candidate_not_verified_negative
P43316	Humicola insolens (Soft-rot fungus)	213	unlabelled_candidate_not_verified_negative
P43317	Trichoderma reesei (Filamentous fungus) (Hypocrea jecorina)	242	unlabelled_candidate_not_verified_negative
P43321	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	101	unlabelled_candidate_not_verified_negative
P43369	Brettanomyces anomalus (Yeast)	243	unlabelled_candidate_not_verified_negative
P43370	Brettanomyces custersianus (Yeast)	247	unlabelled_candidate_not_verified_negative
P43372	Brettanomyces naardenensis (Yeast)	248	unlabelled_candidate_not_verified_negative
P43373	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)	251	unlabelled_candidate_not_verified_negative
P43374	Dekkera bruxellensis (Brettanomyces custersii)	245	unlabelled_candidate_not_verified_negative
P43375	Eeniella nana (Yeast) (Brettanomyces nanus)	247	unlabelled_candidate_not_verified_negative
P43376	Lachancea thermotolerans (strain ATCC 56472 / CBS 6340 / NRRL Y-8284) (Yeast) (Kluyveromyces thermotolerans)	251	unlabelled_candidate_not_verified_negative
P43377	Maudiozyma exigua (Yeast) (Kazachstania exigua)	249	unlabelled_candidate_not_verified_negative
P43496	Penicillium chrysogenum (Penicillium notatum)	334	unlabelled_candidate_not_verified_negative
P43497	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	92	unlabelled_candidate_not_verified_negative
P43534	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	340	unlabelled_candidate_not_verified_negative
P43535	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	752	unlabelled_candidate_not_verified_negative
P43537	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	175	unlabelled_candidate_not_verified_negative
P43538	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	392	unlabelled_candidate_not_verified_negative
P43541	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	151	unlabelled_candidate_not_verified_negative
P43542	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	379	unlabelled_candidate_not_verified_negative
P43544	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	222	unlabelled_candidate_not_verified_negative
P43545	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	298	unlabelled_candidate_not_verified_negative
P43547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	212	unlabelled_candidate_not_verified_negative
P43548	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	558	unlabelled_candidate_not_verified_negative
P43549	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	646	unlabelled_candidate_not_verified_negative
P43550	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	591	unlabelled_candidate_not_verified_negative
P43551	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	465	unlabelled_candidate_not_verified_negative
P43553	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	858	unlabelled_candidate_not_verified_negative
P43554	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	623	unlabelled_candidate_not_verified_negative
P43555	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	445	unlabelled_candidate_not_verified_negative
P43556	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	714	unlabelled_candidate_not_verified_negative
P43557	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	207	unlabelled_candidate_not_verified_negative
P43558	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	301	unlabelled_candidate_not_verified_negative
P43560	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	674	unlabelled_candidate_not_verified_negative
P43561	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	622	unlabelled_candidate_not_verified_negative
P43562	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	540	unlabelled_candidate_not_verified_negative
P43563	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	287	unlabelled_candidate_not_verified_negative
P43564	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1073	unlabelled_candidate_not_verified_negative
P43565	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1770	unlabelled_candidate_not_verified_negative
P43566	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	106	unlabelled_candidate_not_verified_negative
P43567	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385	unlabelled_candidate_not_verified_negative
P43568	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	368	unlabelled_candidate_not_verified_negative
P43569	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	289	unlabelled_candidate_not_verified_negative
P43570	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	497	unlabelled_candidate_not_verified_negative
P43571	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1029	unlabelled_candidate_not_verified_negative
P43572	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	832	unlabelled_candidate_not_verified_negative
P43573	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	796	unlabelled_candidate_not_verified_negative
P43574	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	510	unlabelled_candidate_not_verified_negative
P43577	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	159	unlabelled_candidate_not_verified_negative
P43578	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	164	unlabelled_candidate_not_verified_negative
P43579	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	692	unlabelled_candidate_not_verified_negative
P43580	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	148	unlabelled_candidate_not_verified_negative
P43581	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	546	unlabelled_candidate_not_verified_negative
P43582	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	211	unlabelled_candidate_not_verified_negative
P43583	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2143	unlabelled_candidate_not_verified_negative
P43585	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	828	unlabelled_candidate_not_verified_negative
P43586	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	204	unlabelled_candidate_not_verified_negative
P43587	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	155	unlabelled_candidate_not_verified_negative
P43588	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	306	unlabelled_candidate_not_verified_negative
P43589	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	448	unlabelled_candidate_not_verified_negative
P43590	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	535	unlabelled_candidate_not_verified_negative
P43591	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	353	unlabelled_candidate_not_verified_negative
P43592	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	221	unlabelled_candidate_not_verified_negative
P43593	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	499	unlabelled_candidate_not_verified_negative
P43594	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	170	unlabelled_candidate_not_verified_negative
P43595	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	202	unlabelled_candidate_not_verified_negative
P43596	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	787	unlabelled_candidate_not_verified_negative
P43597	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1233	unlabelled_candidate_not_verified_negative
P43598	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	195	unlabelled_candidate_not_verified_negative
P43599	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	363	unlabelled_candidate_not_verified_negative
P43600	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	232	unlabelled_candidate_not_verified_negative
P43601	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	500	unlabelled_candidate_not_verified_negative
P43602	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	733	unlabelled_candidate_not_verified_negative
P43603	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	459	unlabelled_candidate_not_verified_negative
P43604	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	169	unlabelled_candidate_not_verified_negative
P43605	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	281	unlabelled_candidate_not_verified_negative
P43606	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	678	unlabelled_candidate_not_verified_negative
P43607	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	289	unlabelled_candidate_not_verified_negative
P43608	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	114	unlabelled_candidate_not_verified_negative
P43609	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	557	unlabelled_candidate_not_verified_negative
P43610	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	853	unlabelled_candidate_not_verified_negative
P43611	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	510	unlabelled_candidate_not_verified_negative
P43612	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1002	unlabelled_candidate_not_verified_negative
P43613	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	295	unlabelled_candidate_not_verified_negative
P43614	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	200	unlabelled_candidate_not_verified_negative
P43615	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	237	unlabelled_candidate_not_verified_negative
P43616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	481	unlabelled_candidate_not_verified_negative
P43617	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	309	unlabelled_candidate_not_verified_negative
P43618	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	361	unlabelled_candidate_not_verified_negative
P43619	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	295	unlabelled_candidate_not_verified_negative
P43620	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	662	unlabelled_candidate_not_verified_negative
P43621	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	546	unlabelled_candidate_not_verified_negative
P43622	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	192	unlabelled_candidate_not_verified_negative
P43623	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	340	unlabelled_candidate_not_verified_negative
P43624	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	122	unlabelled_candidate_not_verified_negative
P43633	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	760	unlabelled_candidate_not_verified_negative
P43634	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	648	unlabelled_candidate_not_verified_negative
P43635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	486	unlabelled_candidate_not_verified_negative
P43636	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	503	unlabelled_candidate_not_verified_negative
P43637	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	560	unlabelled_candidate_not_verified_negative
P43638	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1398	unlabelled_candidate_not_verified_negative
P43639	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	278	unlabelled_candidate_not_verified_negative
P43651	Aspergillus parasiticus	444	unlabelled_candidate_not_verified_negative
P43682	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	97	unlabelled_candidate_not_verified_negative
P45353	Komagataella pastoris (Yeast) (Pichia pastoris)	842	unlabelled_candidate_not_verified_negative
P45443	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	4367	unlabelled_candidate_not_verified_negative
P45444	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	4345	unlabelled_candidate_not_verified_negative
P45699	Fusarium oxysporum (Fusarium vascular wilt)	376	unlabelled_candidate_not_verified_negative
P45815	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	411	unlabelled_candidate_not_verified_negative
P45816	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	492	unlabelled_candidate_not_verified_negative
P45817	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	404	unlabelled_candidate_not_verified_negative
P45818	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	564	unlabelled_candidate_not_verified_negative
P45819	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	413	unlabelled_candidate_not_verified_negative
P45820	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	110	unlabelled_candidate_not_verified_negative
P45976	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	327	unlabelled_candidate_not_verified_negative
P45978	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	349	unlabelled_candidate_not_verified_negative
P46030	Candida albicans (Yeast)	623	unlabelled_candidate_not_verified_negative
P46056	Cutaneotrichosporon cutaneum (Yeast) (Trichosporon cutaneum)	1176	unlabelled_candidate_not_verified_negative
P46057	Cutaneotrichosporon cutaneum (Yeast) (Trichosporon cutaneum)	374	unlabelled_candidate_not_verified_negative
P46070	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	556	unlabelled_candidate_not_verified_negative
P46073	Aspergillus flavus	381	unlabelled_candidate_not_verified_negative
P46075	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	634	unlabelled_candidate_not_verified_negative
P46076	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	352	unlabelled_candidate_not_verified_negative
P46151	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	657	unlabelled_candidate_not_verified_negative
P46236	Fusarium oxysporum (Fusarium vascular wilt)	462	unlabelled_candidate_not_verified_negative
P46237	Fusarium oxysporum (Fusarium vascular wilt)	429	unlabelled_candidate_not_verified_negative
P46238	Fusarium oxysporum (Fusarium vascular wilt)	514	unlabelled_candidate_not_verified_negative
P46239	Fusarium oxysporum (Fusarium vascular wilt)	385	unlabelled_candidate_not_verified_negative
P46250	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	301	unlabelled_candidate_not_verified_negative
P46268	Cyberlindnera jadinii (Torula yeast) (Pichia jadinii)	126	unlabelled_candidate_not_verified_negative
P46273	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	417	unlabelled_candidate_not_verified_negative
P46367	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	519	unlabelled_candidate_not_verified_negative
P46463	Komagataella pastoris (Yeast) (Pichia pastoris)	1157	unlabelled_candidate_not_verified_negative
P46585	Candida albicans (Yeast)	321	unlabelled_candidate_not_verified_negative
P46586	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	298	unlabelled_candidate_not_verified_negative
P46587	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	645	unlabelled_candidate_not_verified_negative
P46588	Candida albicans (Yeast)	1038	unlabelled_candidate_not_verified_negative
P46589	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	612	unlabelled_candidate_not_verified_negative
P46590	Candida albicans (Yeast)	1260	unlabelled_candidate_not_verified_negative
P46591	Candida albicans (Yeast)	937	unlabelled_candidate_not_verified_negative
P46592	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	461	unlabelled_candidate_not_verified_negative
P46593	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	634	unlabelled_candidate_not_verified_negative
P46595	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	147	unlabelled_candidate_not_verified_negative
P46596	Candida albicans (strain WO-1) (Yeast)	402	unlabelled_candidate_not_verified_negative
P46598	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	707	unlabelled_candidate_not_verified_negative
P46614	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	504	unlabelled_candidate_not_verified_negative
P46654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	252	unlabelled_candidate_not_verified_negative
P46655	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	708	unlabelled_candidate_not_verified_negative
P46669	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	326	unlabelled_candidate_not_verified_negative
P46670	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	268	unlabelled_candidate_not_verified_negative
P46671	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	204	unlabelled_candidate_not_verified_negative
P46672	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	376	unlabelled_candidate_not_verified_negative
P46673	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	744	unlabelled_candidate_not_verified_negative
P46674	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1301	unlabelled_candidate_not_verified_negative
P46675	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	888	unlabelled_candidate_not_verified_negative
P46676	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1062	unlabelled_candidate_not_verified_negative
P46677	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1066	unlabelled_candidate_not_verified_negative
P46678	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	594	unlabelled_candidate_not_verified_negative
P46679	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	850	unlabelled_candidate_not_verified_negative
P46680	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	615	unlabelled_candidate_not_verified_negative
P46681	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	530	unlabelled_candidate_not_verified_negative
P46682	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	809	unlabelled_candidate_not_verified_negative
P46683	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	200	unlabelled_candidate_not_verified_negative
P46784	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	105	unlabelled_candidate_not_verified_negative
P46792	Agaricus bisporus (White button mushroom)	130	unlabelled_candidate_not_verified_negative
P46882	Aspergillus niger	495	unlabelled_candidate_not_verified_negative
P46943	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	645	unlabelled_candidate_not_verified_negative
P46944	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	698	unlabelled_candidate_not_verified_negative
P46946	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	345	unlabelled_candidate_not_verified_negative
P46947	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	266	unlabelled_candidate_not_verified_negative
P46948	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	246	unlabelled_candidate_not_verified_negative
P46950	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	547	unlabelled_candidate_not_verified_negative
P46951	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	817	unlabelled_candidate_not_verified_negative
P46954	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	829	unlabelled_candidate_not_verified_negative
P46955	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	337	unlabelled_candidate_not_verified_negative
P46956	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	311	unlabelled_candidate_not_verified_negative
P46957	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	487	unlabelled_candidate_not_verified_negative
P46958	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	469	unlabelled_candidate_not_verified_negative
P46959	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	383	unlabelled_candidate_not_verified_negative
P46960	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	311	unlabelled_candidate_not_verified_negative
P46961	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	280	unlabelled_candidate_not_verified_negative
P46962	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	323	unlabelled_candidate_not_verified_negative
P46963	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	296	unlabelled_candidate_not_verified_negative
P46964	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	130	unlabelled_candidate_not_verified_negative
P46965	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	94	unlabelled_candidate_not_verified_negative
P46969	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	238	unlabelled_candidate_not_verified_negative
P46970	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1048	unlabelled_candidate_not_verified_negative
P46971	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	762	unlabelled_candidate_not_verified_negative
P46972	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	177	unlabelled_candidate_not_verified_negative
P46973	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	164	unlabelled_candidate_not_verified_negative
P46974	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1380	unlabelled_candidate_not_verified_negative
P46982	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	586	unlabelled_candidate_not_verified_negative
P46983	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	293	unlabelled_candidate_not_verified_negative
P46984	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	123	unlabelled_candidate_not_verified_negative
P46985	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	422	unlabelled_candidate_not_verified_negative
P46986	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	105	unlabelled_candidate_not_verified_negative
P46987	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	611	unlabelled_candidate_not_verified_negative
P46988	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	109	unlabelled_candidate_not_verified_negative
P46989	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	271	unlabelled_candidate_not_verified_negative
P46990	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	184	unlabelled_candidate_not_verified_negative
P46991	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	170	unlabelled_candidate_not_verified_negative
P46992	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	396	unlabelled_candidate_not_verified_negative
P46993	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	209	unlabelled_candidate_not_verified_negative
P46994	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	122	unlabelled_candidate_not_verified_negative
P46995	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	733	unlabelled_candidate_not_verified_negative
P46996	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	555	unlabelled_candidate_not_verified_negative
P46997	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	583	unlabelled_candidate_not_verified_negative
P46998	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	180	unlabelled_candidate_not_verified_negative
P46999	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	287	unlabelled_candidate_not_verified_negative
P47001	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	227	unlabelled_candidate_not_verified_negative
P47002	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	699	unlabelled_candidate_not_verified_negative
P47003	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	119	unlabelled_candidate_not_verified_negative
P47005	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	663	unlabelled_candidate_not_verified_negative
P47006	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	233	unlabelled_candidate_not_verified_negative
P47007	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	382	unlabelled_candidate_not_verified_negative
P47008	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	294	unlabelled_candidate_not_verified_negative
P47009	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	104	unlabelled_candidate_not_verified_negative
P47011	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	380	unlabelled_candidate_not_verified_negative
P47012	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	105	unlabelled_candidate_not_verified_negative
P47013	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	409	unlabelled_candidate_not_verified_negative
P47015	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	356	unlabelled_candidate_not_verified_negative
P47016	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	307	unlabelled_candidate_not_verified_negative
